[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 64  LR: 5.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=100  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭 126/3000 | 손실: 0.4298 | 검증손실: 0.4136 | 학습: 85.4% | 검증: 81.0% | lr: 5.00e-04 | 0.5s
  에폭 127/3000 | 손실: 0.4307 | 검증손실: 0.4150 | 학습: 85.0% | 검증: 80.2% | lr: 5.00e-04 | 0.5s
  에폭 128/3000 | 손실: 0.4272 | 검증손실: 0.4140 | 학습: 85.0% | 검증: 80.8% | lr: 5.00e-04 | 0.5s
  에폭 129/3000 | 손실: 0.4321 | 검증손실: 0.4149 | 학습: 84.7% | 검증: 80.7% | lr: 5.00e-04 | 0.5s
  에폭 130/3000 | 손실: 0.4289 | 검증손실: 0.4086 | 학습: 85.4% | 검증: 81.9% | lr: 5.00e-04 | 0.5s ★
  에폭 131/3000 | 손실: 0.4286 | 검증손실: 0.4097 | 학습: 84.9% | 검증: 81.2% | lr: 5.00e-04 | 0.5s
  에폭 132/3000 | 손실: 0.4270 | 검증손실: 0.4162 | 학습: 84.5% | 검증: 80.6% | lr: 5.00e-04 | 0.5s
  에폭 133/3000 | 손실: 0.4288 | 검증손실: 0.4081 | 학습: 85.5% | 검증: 81.2% | lr: 5.00e-04 | 0.5s
  에폭 134/3000 | 손실: 0.4309 | 검증손실: 0.4119 | 학습: 84.9% | 검증: 80.5% | lr: 5.00e-04 | 0.5s
  에폭 135/3000 | 손실: 0.4249 | 검증손실: 0.4066 | 학습: 85.7% | 검증: 81.2% | lr: 5.00e-04 | 0.5s
  에폭 136/3000 | 손실: 0.4246 | 검증손실: 0.4116 | 학습: 84.4% | 검증: 80.6% | lr: 5.00e-04 | 0.5s
  에폭 137/3000 | 손실: 0.4259 | 검증손실: 0.3986 | 학습: 85.7% | 검증: 81.4% | lr: 5.00e-04 | 0.5s
  에폭 138/3000 | 손실: 0.4204 | 검증손실: 0.4063 | 학습: 85.4% | 검증: 81.2% | lr: 5.00e-04 | 0.5s
  에폭 139/3000 | 손실: 0.4253 | 검증손실: 0.4063 | 학습: 85.9% | 검증: 81.4% | lr: 5.00e-04 | 0.5s
  에폭 140/3000 | 손실: 0.4257 | 검증손실: 0.4052 | 학습: 85.6% | 검증: 81.3% | lr: 5.00e-04 | 0.5s
  에폭 141/3000 | 손실: 0.4225 | 검증손실: 0.4098 | 학습: 85.7% | 검증: 81.1% | lr: 5.00e-04 | 0.5s
  에폭 142/3000 | 손실: 0.4218 | 검증손실: 0.4095 | 학습: 85.3% | 검증: 81.1% | lr: 5.00e-04 | 0.5s
  에폭 143/3000 | 손실: 0.4238 | 검증손실: 0.4094 | 학습: 85.7% | 검증: 80.9% | lr: 5.00e-04 | 0.5s
  에폭 144/3000 | 손실: 0.4224 | 검증손실: 0.4108 | 학습: 85.7% | 검증: 80.8% | lr: 5.00e-04 | 0.5s
  에폭 145/3000 | 손실: 0.4184 | 검증손실: 0.4052 | 학습: 86.1% | 검증: 81.6% | lr: 5.00e-04 | 0.5s
  에폭 146/3000 | 손실: 0.4179 | 검증손실: 0.4034 | 학습: 85.9% | 검증: 82.1% | lr: 5.00e-04 | 0.5s ★
  에폭 147/3000 | 손실: 0.4263 | 검증손실: 0.4052 | 학습: 85.7% | 검증: 81.4% | lr: 5.00e-04 | 0.5s
  에폭 148/3000 | 손실: 0.4170 | 검증손실: 0.3980 | 학습: 86.4% | 검증: 82.0% | lr: 5.00e-04 | 0.5s
