[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  76/1500 | 손실: 0.3815 | 검증손실: 0.3985 | 학습: 87.0% | 검증: 81.2% | lr: 2.00e-03 | 0.3s
  에폭  77/1500 | 손실: 0.3850 | 검증손실: 0.4014 | 학습: 87.4% | 검증: 82.4% | lr: 2.00e-03 | 0.3s ★
  에폭  78/1500 | 손실: 0.3809 | 검증손실: 0.3931 | 학습: 87.5% | 검증: 82.1% | lr: 2.00e-03 | 0.3s
  에폭  79/1500 | 손실: 0.3748 | 검증손실: 0.3962 | 학습: 86.9% | 검증: 82.1% | lr: 2.00e-03 | 0.3s
  에폭  80/1500 | 손실: 0.3798 | 검증손실: 0.3955 | 학습: 87.2% | 검증: 81.3% | lr: 2.00e-03 | 0.3s
  에폭  81/1500 | 손실: 0.3798 | 검증손실: 0.3900 | 학습: 87.6% | 검증: 82.3% | lr: 2.00e-03 | 0.3s
  에폭  82/1500 | 손실: 0.3703 | 검증손실: 0.3969 | 학습: 87.7% | 검증: 81.3% | lr: 2.00e-03 | 0.3s
  에폭  83/1500 | 손실: 0.3756 | 검증손실: 0.3905 | 학습: 87.5% | 검증: 82.4% | lr: 2.00e-03 | 0.3s ★
  에폭  84/1500 | 손실: 0.3737 | 검증손실: 0.3887 | 학습: 87.7% | 검증: 82.6% | lr: 2.00e-03 | 0.3s ★
  에폭  85/1500 | 손실: 0.3776 | 검증손실: 0.3959 | 학습: 87.3% | 검증: 82.1% | lr: 2.00e-03 | 0.3s
  에폭  86/1500 | 손실: 0.3781 | 검증손실: 0.3923 | 학습: 87.2% | 검증: 81.7% | lr: 2.00e-03 | 0.3s
  에폭  87/1500 | 손실: 0.3678 | 검증손실: 0.3892 | 학습: 87.9% | 검증: 82.5% | lr: 2.00e-03 | 0.3s
  에폭  88/1500 | 손실: 0.3753 | 검증손실: 0.3884 | 학습: 88.0% | 검증: 81.7% | lr: 2.00e-03 | 0.3s
  에폭  89/1500 | 손실: 0.3659 | 검증손실: 0.3863 | 학습: 88.1% | 검증: 82.3% | lr: 2.00e-03 | 0.3s
  에폭  90/1500 | 손실: 0.3756 | 검증손실: 0.3779 | 학습: 88.4% | 검증: 82.4% | lr: 2.00e-03 | 0.3s
  에폭  91/1500 | 손실: 0.3639 | 검증손실: 0.3877 | 학습: 88.2% | 검증: 82.5% | lr: 2.00e-03 | 0.3s
  에폭  92/1500 | 손실: 0.3616 | 검증손실: 0.3869 | 학습: 88.3% | 검증: 82.4% | lr: 2.00e-03 | 0.4s
  에폭  93/1500 | 손실: 0.3640 | 검증손실: 0.3915 | 학습: 87.7% | 검증: 82.1% | lr: 2.00e-03 | 0.3s
  에폭  94/1500 | 손실: 0.3669 | 검증손실: 0.3789 | 학습: 88.8% | 검증: 83.0% | lr: 2.00e-03 | 0.3s ★
  에폭  95/1500 | 손실: 0.3652 | 검증손실: 0.3844 | 학습: 88.2% | 검증: 82.8% | lr: 2.00e-03 | 0.3s
  에폭  96/1500 | 손실: 0.3647 | 검증손실: 0.3776 | 학습: 88.2% | 검증: 82.4% | lr: 2.00e-03 | 0.3s
  에폭  97/1500 | 손실: 0.3677 | 검증손실: 0.3872 | 학습: 88.8% | 검증: 82.3% | lr: 2.00e-03 | 0.3s
  에폭  98/1500 | 손실: 0.3641 | 검증손실: 0.3880 | 학습: 87.9% | 검증: 82.1% | lr: 2.00e-03 | 0.3s
  에폭  99/1500 | 손실: 0.3590 | 검증손실: 0.3830 | 학습: 88.3% | 검증: 82.6% | lr: 2.00e-03 | 0.3s
  에폭 100/1500 | 손실: 0.3600 | 검증손실: 0.3842 | 학습: 89.1% | 검증: 82.7% | lr: 2.00e-03 | 0.3s
  에폭 101/1500 | 손실: 0.3567 | 검증손실: 0.3832 | 학습: 88.6% | 검증: 82.7% | lr: 2.00e-03 | 0.3s
  에폭 102/1500 | 손실: 0.3656 | 검증손실: 0.3922 | 학습: 88.3% | 검증: 82.3% | lr: 2.00e-03 | 0.3s
  에폭 103/1500 | 손실: 0.3583 | 검증손실: 0.3789 | 학습: 89.2% | 검증: 83.0% | lr: 2.00e-03 | 0.3s
  에폭 104/1500 | 손실: 0.3633 | 검증손실: 0.3769 | 학습: 89.0% | 검증: 83.0% | lr: 2.00e-03 | 0.3s ★
  에폭 105/1500 | 손실: 0.3587 | 검증손실: 0.3740 | 학습: 89.3% | 검증: 83.2% | lr: 2.00e-03 | 0.3s ★
